School.Name	State	Admin1987	Admin2011	Student1987	Student2011	AdminFC	StudentFC	AdmintoStudentFCRatio
University of Texas Southwestern Medical Center	Texas	66	2645	1328	2237	40.0757575757576	1.68448795180723	23.7910621638829
Rutgers University-New Brunswick	New Jersey	175	3179	25692	39322	18.1657142857143	1.530515335513	11.8690181432422
Louisiana State University Health Sciences Center-New Orleans	Louisiana	115	1702	2277	2840	14.8	1.24725516029864	11.8660563380282
Baylor College of Medicine	Texas	67	1179	915	1550	17.5970149253731	1.69398907103825	10.3879152623977
The University of Texas Health Science Center at San Antonio	Texas	99	1731	1961	3352	17.4848484848485	1.70933197348292	10.2290536631229
Vanderbilt University	Tennessee	635	9183	8115	11729	14.4614173228346	1.44534812076402	10.0054907984315
The University of Texas Health Science Center at Houston	Texas	109	2214	2039	4256	20.3119266055046	2.0872976949485	9.73120731875561
Haskell Indian Nations University	Kansas	9	75	782	761	8.33333333333333	0.973145780051151	8.56329391151993
Wake Forest University	North Carolina	207	2401	4822	7272	11.5990338164251	1.50808793031937	7.69121851798706
Houston Baptist University	Texas	17	141	1977	2229	8.29411764705882	1.12746585735964	7.35642466946402
Palau Community College	Palau	6	41	595	597	6.83333333333333	1.00336134453782	6.81044109436069
Dine College	Arizona	10	108	945	1603	10.8	1.6962962962963	6.36681222707424
Boston Architectural College	Massachusetts	13	74	672	614	5.69230769230769	0.913690476190476	6.23001753946379
Meharry Medical College	Tennessee	46	340	634	783	7.39130434782609	1.23501577287066	5.98478538508523
American Samoa Community College	American Samoa	6	83	588	1420	13.8333333333333	2.41496598639456	5.72816901408451
Kauai Community College	Hawaii	7	47	665	789	6.71428571428571	1.18646616541353	5.65906210392902
Garden City Community College	Kansas	13	89	1074	1390	6.84615384615385	1.29422718808194	5.28976203652463
Central Wyoming College	Wyoming	9	98	840	1764	10.8888888888889	2.1	5.18518518518519
James A Rhodes State College	Ohio	9	106	1315	3023	11.7777777777778	2.29885931558935	5.12331385305252
William Jewell College	Missouri	24	92	1417	1071	3.83333333333333	0.755822159491884	5.07173980703393
Montgomery College	Maryland	31	367	7549	17985	11.8387096774194	2.3824347595708	4.96916426771413
Frank Phillips College	Texas	6	38	576	741	6.33333333333333	1.28645833333333	4.92307692307692
Medical College of Wisconsin	Wisconsin	275	1884	838	1216	6.85090909090909	1.45107398568019	4.72126794258373
University of Colorado Boulder	Colorado	207	1310	21805	29499	6.32850241545894	1.35285484980509	4.67788722224761
Asnuntuck Community College	Connecticut	9	49	890	1037	5.44444444444444	1.16516853932584	4.67266688096004
Columbus Technical College	Georgia	13	72	2022	2477	5.53846153846154	1.22502472799209	4.52110182913574
Cuyahoga Community College District	Ohio	88	627	12978	20813	7.125	1.60371397750039	4.44281218469226
Fort Lewis College	Colorado	44	194	3532	3545	4.40909090909091	1.00368063420159	4.39292216950891
Minot State University	North Dakota	29	125	2824	2943	4.31034482758621	1.0421388101983	4.13605633472764
Prince George's Community College	Maryland	55	286	7273	9154	5.2	1.25862780145745	4.13148350447892
Minnesota State Community and Technical College	Minnesota	4	103	810	5056	25.75	6.24197530864198	4.12529667721519
Inver Hills Community College	Minnesota	13	86	2612	4214	6.61538461538461	1.61332312404288	4.10047095761381
Berklee College of Music	Massachusetts	71	452	2797	4437	6.36619718309859	1.58634250983196	4.01312903338444
Mount Ida College	Massachusetts	28	97	1555	1345	3.46428571428571	0.864951768488746	4.00517790759426
Lynn University	Florida	25	216	956	2083	8.64	2.17887029288703	3.96535765722516
Renton Technical College	Washington	18	51	3620	2624	2.83333333333333	0.724861878453039	3.9087906504065
Southeast Kentucky Community and Technical College	Kentucky	9	94	870	2328	10.4444444444444	2.67586206896552	3.90320733104238
Northern State University	South Dakota	39	138	2431	2220	3.53846153846154	0.913204442616207	3.87477477477477
University of Washington-Seattle Campus	Washington	1462	8910	28610	45210	6.09439124487004	1.58021670744495	3.85668067940128
Oregon Institute of Technology	Oregon	23	96	2528	2741	4.17391304347826	1.08425632911392	3.8495629966848
University of South Carolina-Sumter	South Carolina	10	33	875	752	3.3	0.859428571428571	3.83976063829787
Southwestern Oregon Community College	Oregon	20	72	1688	1602	3.6	0.949052132701422	3.79325842696629
Caribbean University-Bayamon	Puerto Rico	51	123	2347	1497	2.41176470588235	0.637835534725181	3.78117018350426
Southwestern Community College	Iowa	8	54	680	1230	6.75	1.80882352941176	3.73170731707317
Howard Payne University	Texas	18	72	952	1034	4	1.08613445378151	3.68278529980658
Dabney S Lancaster Community College	Virginia	9	34	872	895	3.77777777777778	1.02637614678899	3.68069522036002
Union College	Kentucky	18	125	685	1301	6.94444444444444	1.8992700729927	3.6563754376975
Carl Sandburg College	Illinois	22	87	1675	1814	3.95454545454545	1.08298507462687	3.65152350405934
University of Kansas	Kansas	663	2885	21412	25742	4.35143288084465	1.20222305249393	3.61948880602306
College of DuPage	Illinois	68	329	13735	18435	4.83823529411765	1.34219148161631	3.60472805883948
Sacred Heart University	Connecticut	38	317	2524	5865	8.3421052631579	2.32369255150555	3.59002108852694
University of Central Oklahoma	Oklahoma	79	444	8668	13635	5.62025316455696	1.57302722658053	3.57288994722257
Fairmont State University	West Virginia	42	131	4391	3851	3.11904761904762	0.877021179685721	3.55641082711973
Stevenson University	Maryland	13	199	913	3946	15.3076923076923	4.32201533406353	3.54179500175445
Madisonville Community College	Kentucky	9	72	890	2027	8	2.27752808988764	3.51258016773557
Yeshiva University	New York	215	1066	4073	5771	4.95813953488372	1.41689172600049	3.4993072822009
Drury University	Missouri	35	180	1771	2605	5.14285714285714	1.47092038396386	3.49635316698656
Dodge City Community College	Kansas	14	61	1178	1477	4.35714285714286	1.25382003395586	3.47509430312409
Universidad Politecnica de Puerto Rico-Hato Rey Campus	Puerto Rico	19	129	2295	4501	6.78947368421053	1.96122004357298	3.46186227621932
Stanford University	California	1021	4498	11893	15155	4.40548481880509	1.27427898763979	3.45723727812926
Mesabi Range Community and Technical College	Minnesota	7	31	874	1128	4.42857142857143	1.29061784897025	3.43135764944276
Dyersburg State Community College	Tennessee	12	90	1052	2328	7.5	2.21292775665399	3.38917525773196
Wisconsin Indianhead Technical College	Wisconsin	27	106	2074	2418	3.92592592592593	1.16586306653809	3.36739882976442
Fort Scott Community College	Kansas	10	61	918	1664	6.1	1.81263616557734	3.36526442307692
Mount Mary College	Wisconsin	14	67	929	1322	4.78571428571429	1.42303552206674	3.3630322022909
Dean College	Massachusetts	33	85	1696	1315	2.57575757575758	0.775353773584906	3.32204170987441
West Liberty University	West Virginia	29	111	2272	2621	3.82758620689655	1.15360915492958	3.31792287755397
Pennsylvania State University-Penn State Greater Allegheny	Pennsylvania	19	37	1194	704	1.94736842105263	0.589614740368509	3.30278110047847
Massachusetts Institute of Technology	Massachusetts	705	2733	9120	10762	3.87659574468085	1.18004385964912	3.28512852550542
Southeastern Community College	Iowa	21	95	1702	2357	4.52380952380952	1.38484136310223	3.26666262601774
Windward Community College	Hawaii	12	56	1014	1449	4.66666666666667	1.42899408284024	3.26570048309179
Franklin University	Ohio	34	235	2552	5419	6.91176470588235	2.12343260188088	3.25499603790584
Millsaps College	Mississippi	38	102	1251	1033	2.68421052631579	0.825739408473221	3.25067509043664
Lincoln Land Community College	Illinois	40	169	4276	5564	4.225	1.30121608980355	3.24696261682243
Western Texas College	Texas	9	42	811	1169	4.66666666666667	1.44143033292232	3.2375249500998
Kettering University	Michigan	63	144	2790	1971	2.28571428571429	0.706451612903226	3.235485975212
Honolulu Community College	Hawaii	39	109	2973	2570	2.79487179487179	0.864446686848301	3.23313379227776
James Sprunt Community College	North Carolina	6	40	570	1182	6.66666666666667	2.07368421052632	3.21489001692047
The Juilliard School	New York	31	117	901	1059	3.7741935483871	1.17536071032186	3.21109384994974
Oklahoma Christian University	Oklahoma	26	119	1408	2028	4.57692307692308	1.44034090909091	3.17766651494462
Northern Maine Community College	Maine	9	29	780	792	3.22222222222222	1.01538461538462	3.17340067340067
Normandale Community College	Minnesota	25	107	5286	7131	4.28	1.34903518728717	3.17263777871266
The College of Wooster	Ohio	60	204	1911	2052	3.4	1.07378335949765	3.16637426900585
National Park Community College	Arkansas	10	80	1015	2574	8	2.535960591133	3.15462315462315
Cloud County Community College	Kansas	14	63	1174	1710	4.5	1.45655877342419	3.08947368421053
Henderson State University	Arkansas	28	116	2654	3573	4.14285714285714	1.34626978146194	3.07728599416257
Stonehill College	Massachusetts	67	221	2303	2469	3.29850746268657	1.0720798957881	3.07673660857317
Saint Cloud State University	Minnesota	125	413	12654	13701	3.304	1.08274063537221	3.05151565579155
Meredith College	North Carolina	42	144	1653	1859	3.42857142857143	1.12462189957653	3.04864366402828
Wichita Area Technical College	Kansas	30	64	2806	1971	2.13333333333333	0.702423378474697	3.03710468459327
San Francisco Art Institute	California	15	51	601	673	3.4	1.1198003327787	3.03625557206538
Gallaudet University	District of Columbia	151	344	1980	1490	2.27814569536424	0.752525252525252	3.02733454820214
Iowa Central Community College	Iowa	23	184	1780	4775	8	2.68258426966292	2.98219895287958
Widener University-Delaware Campus	Delaware	20	50	1255	1054	2.5	0.839840637450199	2.97675521821632
Hobart William Smith Colleges	New York	74	247	1965	2206	3.33783783783784	1.12264631043257	2.97318737595256
Kalamazoo Valley Community College	Michigan	29	137	4856	7722	4.72413793103448	1.59019769357496	2.97078655699345
Oklahoma City University	Oklahoma	42	222	1983	3535	5.28571428571429	1.7826525466465	2.96508385532431
Bevill State Community College	Alabama	8	96	795	3223	12	4.05408805031447	2.95997517840521
Samford University	Alabama	81	352	3316	4870	4.34567901234568	1.4686369119421	2.95898800922757
Birmingham Southern College	Alabama	48	112	1572	1240	2.33333333333333	0.788804071246819	2.95806451612903
Bismarck State College	North Dakota	17	95	1697	3210	5.58823529411765	1.89157336476134	2.95427890782481
Brevard College	North Carolina	21	64	588	612	3.04761904761905	1.04081632653061	2.9281045751634
Oral Roberts University	Oklahoma	107	231	4105	3043	2.1588785046729	0.741291108404385	2.91232213660277
Saint Anselm College	New Hampshire	47	152	1822	2036	3.23404255319149	1.11745334796926	2.89411863060653
Colgate University	New York	85	263	2729	2928	3.09411764705882	1.07292048369366	2.88382754741241
North Iowa Area Community College	Iowa	27	91	2106	2470	3.37037037037037	1.17283950617284	2.87368421052632
Chattahoochee Technical College	Georgia	12	148	1769	7594	12.3333333333333	4.2928208027134	2.87301378281099
University of Connecticut	Connecticut	1051	3831	18753	23907	3.64509990485252	1.2748360262358	2.85926960788469
Eastern Wyoming College	Wyoming	9	40	824	1281	4.44444444444444	1.55461165048544	2.85887761297597
Culver-Stockton College	Missouri	25	63	828	731	2.52	0.882850241545894	2.85439124487004
Metropolitan State University	Minnesota	28	214	2233	5982	7.64285714285714	2.67890729959695	2.85297559344701
Western State Colorado University	Colorado	35	99	2038	2027	2.82857142857143	0.994602551521099	2.84392134752273
Big Bend Community College	Washington	14	61	1154	1782	4.35714285714286	1.54419410745234	2.82162898829565
Tougaloo College	Mississippi	49	145	984	1036	2.95918367346939	1.05284552845528	2.81065321881648
Waubonsee Community College	Illinois	40	190	4405	7454	4.75	1.69216799091941	2.80704990609069
Illinois State University	Illinois	378	1041	19783	19434	2.75396825396825	0.982358590709195	2.8034246150177
Harper College	Illinois	71	253	8904	11351	3.56338028169014	1.27482030548068	2.79520201111523
Hazard Community and Technical College	Kentucky	7	66	651	2209	9.42857142857143	3.39324116743472	2.77863286555002
Vernon College	Texas	11	72	991	2340	6.54545454545455	2.36125126135217	2.77202797202797
South Florida State College	Florida	30	106	1539	1965	3.53333333333333	1.27680311890838	2.76732824427481
University of Massachusetts-Lowell	Massachusetts	153	520	9654	11884	3.39869281045752	1.23099233478351	2.76093742781529
Georgia Piedmont Technical College	Georgia	13	81	1198	2713	6.23076923076923	2.26460767946578	2.75136805693385
North Hennepin Community College	Minnesota	21	87	3270	4928	4.14285714285714	1.50703363914373	2.74901437847866
Principia College	Illinois	57	122	643	501	2.14035087719298	0.779160186625194	2.74699723360297
Southwestern Oklahoma State University	Oklahoma	32	100	4183	4760	3.125	1.13793927803012	2.74619222689076
Michigan State University	Michigan	1550	5007	36713	43259	3.23032258064516	1.178301963882	2.74150657442904
Parkland College	Illinois	41	179	4659	7450	4.36585365853659	1.59905559132861	2.73027009330496
Carleton College	Minnesota	62	177	1872	1962	2.85483870967742	1.04807692307692	2.72388280556378
