School.Name	State	Admin2011	Tuition2011	AdminperDollar
Ohio State University-Main Campus	Ohio	13034	10082.6301388286	1.29271825114417
University of Washington-Seattle Campus	Washington	8910	10951.5902504338	0.813580475186883
University of Florida	Florida	4087	5859.00757014415	0.697558409179432
University of Wisconsin-Madison	Wisconsin	6688	10010.1304870856	0.668123158696924
University of Michigan-Ann Arbor	Michigan	8556	13085.151430299	0.653870919689045
University of North Carolina at Chapel Hill	North Carolina	4707	7259.28655809446	0.648410826922305
University of California-Los Angeles	California	6793	13139.0083144509	0.517010099805534
University of Iowa	Iowa	3942	8042.28279691874	0.49015933653941
University of Alabama at Birmingham	Alabama	3109	6487.68312168693	0.479215760339355
The University of Texas at Austin	Texas	4826	10143.7369881548	0.47576154681805
University of Utah	Utah	3221	7003.46635837277	0.459915109915426
University of Arizona	Arizona	4415	9617.59665836284	0.459054393403055
North Carolina State University at Raleigh	North Carolina	3323	7268.60794188998	0.457171445559623
University of Minnesota-Twin Cities	Minnesota	6164	13487.0066428172	0.457032473049367
Florida State University	Florida	2554	6034.04244363794	0.423265169885048
Michigan State University	Michigan	5007	12637.7250081136	0.396194726249022
University of Georgia	Georgia	3873	9810.23859013707	0.394791621469207
Indiana University-Purdue University-Indianapolis	Indiana	3355	8537.3518473923	0.392979000979651
University of Missouri-Columbia	Missouri	3642	9309.99099311044	0.391192644836622
University of South Florida-Main Campus	Florida	2346	6007.11400156197	0.390536953250761
University of Illinois at Chicago	Illinois	5056	13107.9370351325	0.385720497927987
University of Kentucky	Kentucky	3383	9453.9545872858	0.357839671088503
Florida International University	Florida	2104	5880.75746566705	0.357777040165921
University of Central Florida	Florida	2045	5783.40079046932	0.353598181085778
Brigham Young University-Provo	Utah	1659	4722.83445640045	0.351272104774221
University of Connecticut	Connecticut	3831	11051.0183442528	0.346664884688419
University of New Mexico-Main Campus	New Mexico	2037	6016.4353853575	0.338572571552509
West Virginia University	West Virginia	1934	5876.61462842459	0.329101042400405
University of California-San Diego	California	4490	13671.3629001066	0.328423730158242
University of Maryland-College Park	Maryland	2941	8964.06408336532	0.328087792841378
University of California-Berkeley	California	4276	13292.2932924218	0.321690163309731
University of Kansas	Kansas	2885	9551.31126248353	0.302052767490884
University of Pittsburgh-Pittsburgh Campus	Pennsylvania	4998	16708.0625988272	0.299137016661096
East Carolina University	North Carolina	1610	5555.54474213421	0.289800564072409
Purdue University-Main Campus	Indiana	2844	9816.45284600075	0.289717685666738
