Name	City	State	Enrollment	E/D Ratio	Earnings	Debt	SAT	Admission %
Alliant International University	San Diego	CA	146	26.15	52300	2000	NA	NA
Medical University of South Carolina	Charleston	SC	198	21.7333333333333	65200	3000	NA	NA
Ventura Adult and Continuing Education	Ventura	CA	122	17.3076923076923	19800	1144	NA	NA
United States Merchant Marine Academy	Kings Point	NY	1011	12.8363636363636	70600	5500	NA	NA
Harvard University	Cambridge	MA	7245	12.05	72300	6000	1485	0.0626
Hillyard Technical Center	Saint Joseph	MO	154	10.4285714285714	36500	3500	NA	NA
St Louis College of Pharmacy	Saint Louis	MO	693	9.9010752688172	115100	11625	NA	NA
Monmouth County Vocational School District	Neptune	NJ	156	9.48571428571429	33200	3500	NA	NA
Duke University	Durham	NC	6534	9.35664335664336	66900	7150	1435	0.1648
Automeca Technical College-Aguadilla	Aguadilla	PR	231	9.14285714285714	16000	1750	NA	NA
Automeca Technical College-Bayamon	Bayamon	PR	709	9.14285714285714	16000	1750	NA	NA
Automeca Technical College-Caguas	Caguas	PR	305	9.14285714285714	16000	1750	NA	NA
Automeca Technical College-Ponce	Ponce	PR	251	9.14285714285714	16000	1750	NA	NA
Northwestern Connecticut Community College	Winsted	CT	1307	9.02857142857143	23700	2625	NA	NA
Ponce Paramedical College Inc	Ponce	PR	3608	8.33333333333333	13300	1596	NA	NA
Midland College	Midland	TX	3969	8	29000	3625	NA	NA
Gallia Jackson Vinton Joint Vocational School District	Rio Grande	OH	170	7.68571428571429	26900	3500	NA	NA
Oakton Community College	Des Plaines	IL	10485	7.51428571428571	26300	3500	NA	NA
Panola College	Carthage	TX	2560	7.4	25900	3500	NA	NA
Rockland County BOCES-Practical Nursing Program	West Nyack	NY	120	7.36764705882353	50100	6800	NA	0.8017
Laredo Community College	Laredo	TX	9343	7.26666666666667	21800	3000	NA	NA
Hobart Institute of Welding Technology	Troy	OH	230	7.10909090909091	39100	5500	NA	NA
Yale University	New Haven	CT	5333	7.08235294117647	60200	8500	1497	0.0788
Professional Institute of Beauty	El Monte	CA	146	6.67865399434883	13000	1946.5	NA	NA
Stanford University	Stanford	CA	6927	6.63047866852093	73900	11145.5	1446	0.071
Savannah Technical College	Savannah	GA	4487	6.59699542782495	20200	3062	NA	NA
Sowela Technical Community College	Lake Charles	LA	2402	6.58624849215923	27300	4145	NA	NA
Phillips Beth Israel School of Nursing	New York	NY	263	6.52476463364716	79700	12215	NA	0.2128
Illinois Eastern Community Colleges-Wabash Valley College	Mount Carmel	IL	1059	6.42857142857143	22500	3500	NA	NA
North Georgia Technical College	Clarkesville	GA	2493	6.41352903637524	20100	3134	NA	NA
Veeb Nassau County School of Practical Nursing	Uniondale	NY	198	6.37333333333333	47800	7500	NA	NA
San Diego Mesa College	San Diego	CA	22802	6.11111111111111	27500	4500	NA	NA
Centro de Estudios Multidisciplinarios-San Juan	San Juan	PR	1516	6.0990099009901	15400	2525	NA	NA
Centro de Estudios Multidisciplinarios-Humacao	Humacao	PR	905	6.0990099009901	15400	2525	NA	NA
Centro de Estudios Multidisciplinarios-Bayamón	Bayamón	PR	820	6.0990099009901	15400	2525	NA	NA
New England Tractor Trailer Training School of Connecticut	Somers	CT	422	6.04263206672845	32600	5395	NA	NA
Princeton University	Princeton	NJ	5160	6.0375	48300	8000	1487	0.0846
