Name	City	State	Enrollment	E/D Ratio	Earnings	Low Income Debt	SAT	Admission %
Case Western Reserve University	Cleveland	OH	3929	38.4	57600	1500	1340	0.5126
Medical University of South Carolina	Charleston	SC	198	32.6	65200	2000	NA	NA
Alliant International University	San Diego	CA	146	26.15	52300	2000	NA	NA
Ventura Adult and Continuing Education	Ventura	CA	122	22.0858895705521	19800	896.5	NA	NA
Duke University	Durham	NC	6534	16.725	66900	4000	1435	0.1648
American Public University System	Charles Town	WV	38606	16.550045634317	54400	3287	NA	NA
Liceo de Arte y Tecnologia	Hato Rey	PR	1084	14.40329218107	17500	1215	NA	NA
Oregon Health & Science University	Portland	OR	780	13.4580124679135	73400	5454	NA	NA
Princeton University	Princeton	NJ	5160	12.3846153846154	48300	3900	1487	0.0846
Macomb Community College	Warren	MI	14394	12.1558441558442	23400	1925	NA	NA
Harvard University	Cambridge	MA	7245	12.05	72300	6000	1485	0.0626
Rockland County BOCES-Practical Nursing Program	West Nyack	NY	120	11.3863636363636	50100	4400	NA	0.8017
Bristol Community College	Fall River	MA	7900	11.3636363636364	25000	2200	NA	NA
Cornell University	Ithaca	NY	14108	11.3196480938416	57900	5115	1394	0.1797
Automeca Technical College-Aguadilla	Aguadilla	PR	231	10.6666666666667	16000	1500	NA	NA
Automeca Technical College-Bayamon	Bayamon	PR	709	10.6666666666667	16000	1500	NA	NA
Automeca Technical College-Caguas	Caguas	PR	305	10.6666666666667	16000	1500	NA	NA
Automeca Technical College-Ponce	Ponce	PR	251	10.6666666666667	16000	1500	NA	NA
East Arkansas Community College	Forrest City	AR	1024	9.76	18300	1875	NA	NA
Nunez Community College	Chalmette	LA	1605	9.64115866839602	22300	2313	NA	NA
Ponce Paramedical College Inc	Ponce	PR	3608	9.49660835415923	13300	1400.5	NA	NA
Monmouth County Vocational School District	Neptune	NJ	156	9.48571428571429	33200	3500	NA	NA
Capella University	Minneapolis	MN	7476	9.44643869261288	50000	5293	NA	1
Middlesex Community College	Bedford	MA	9000	9.4	28200	3000	NA	NA
Laredo Community College	Laredo	TX	9343	9.34018851756641	21800	2334	NA	NA
Independence Community College	Independence	KS	736	9.2	20700	2250	NA	NA
Jones International University	Centennial	CO	2281	9.17894736842105	43600	4750	NA	NA
American Academy McAllister Institute of Funeral Service	New York	NY	395	9.08641975308642	36800	4050	NA	NA
Wytheville Community College	Wytheville	VA	2482	8.75	21000	2400	NA	NA
Professional Institute of Beauty	El Monte	CA	146	8.51900393184797	13000	1526	NA	NA
Professional Business College	New York	NY	847	8.4	14700	1750	NA	NA
Amherst College	Amherst	MA	1791	8.38351088466883	36200	4318	1425	0.1332
Midland College	Midland	TX	3969	8.28571428571429	29000	3500	NA	NA
North Central Texas College	Gainesville	TX	4719	8.25714285714286	28900	3500	NA	NA
Delaware Technical Community College-Stanton/Wilmington	Wilmington	DE	6562	8.05714285714286	28200	3500	NA	NA
