name	correlation
Malawi	0.969551977935879
Maldives	0.951345447594501
Bureau for Food Security (USAID)	0.939681652832022
Cameroon	0.934208687833898
Western Hemisphere Regional Office (DOS)	0.931624269147668
Tanzania	0.929622994302519
Papua New Guinea	0.928353668227044
Marshall Islands	0.915880584284897
International Organizations and Development Institutions (US Treasury) - Asian Development Bank (AsDB)	0.911022010626164
International Organizations (DOS) - International Chemicals and Toxins Programs	0.902351691421088
International Organizations (DOS) - IDLO International Development Law Organization	0.898249647090498
Micronesia	0.89203637876115
U.S. Department of the Treasury - Office of Technical Assistance	0.890914544179995
International Organizations and Development Institutions (US Treasury) - International Bank for Reconstruction and Development (IBRD)	0.886768537249443
Nigeria	0.886723064522948
Bureau for Energy Resources (DOS)	0.882446313618931
International Organizations (DOS) - UNDF UN Democracy Fund	0.879417190408593
International Organizations (DOS) - UNCDF UN Capital Development Fund	0.874399549536218
Middle East Multilaterals (DOS)	0.868325813294982
S/GPI - Special Representative for Global Partnerships	0.867597177800732
Central Asia Regional Office (USAID)	0.862579786596278
Mozambique	0.846997822920991
Bureau of Arms Control, Verification, and Compliance (DOS)	0.833003472025223
International Organizations (DOS) - International Panel on Climate Change / UN Framework Convention on Climate Change	0.828980833522558
Burma	0.825941848982335
Near East Regional Democracy (DOS)	0.821102586479708
International Organizations (DOS) - OSCE Organization for Security and Cooperation in Europe	0.818326369497479
International Organizations and Development Institutions (US Treasury) - Strategic Climate Funds (SCF)	0.816291361589192
International Organizations (DOS) - Montreal Protocol Multilateral Fund	0.815621498506512
International Organizations and Development Institutions (US Treasury) - African Development Bank (AfDB)	0.807964797698582
Office of the Global AIDS Coordinator (DOS)	0.805889861103011
Bureau of Oceans and International Environmental and Scientific Affairs (DOS)	0.802079041631066
Ghana	0.801885930434693
Worldwide	0.800812386140253
Democratic Republic of Congo	0.798186229877458
Barbados and Eastern Caribbean (DOS & USAID)	0.796723091739467
Cote d'Ivoire	0.795048962268515
Africa Region	0.787199894747952
Ambassador-at-Large for Global Women’s Issues (DOS)	0.782591051761559
Swaziland	0.778599723370862
South Sudan	0.777598314837351
